name,usage_line,def_line,scope_type,range_type
doInsertThenScan,470,210,methods,Long-Range
myArray2,470,461,locals,Short-Range
secTime,472,470,locals,Short-Range
firstTime,472,466,locals,Short-Range
goal,473,457,locals,Medium-Range
secTime,475,470,locals,Short-Range
firstTime,475,466,locals,Short-Range
goal,475,457,locals,Medium-Range
speedCheck,485,457,methods,Medium-Range
speedCheck,492,457,methods,Long-Range
