var_name,usage_line,def_line,scope_type,range_type
gpmask,186,179,local,Short-Range
lpB,186,136,local,Long-Range
LS,187,176,local,Medium-Range
ls,187,186,local,Short-Range
LS,190,176,local,Medium-Range
cv2,192,2,library,Long-Range
cv2,193,2,library,Long-Range
LS,193,176,local,Medium-Range
i,193,191,loop,Short-Range
cv2,194,2,library,Long-Range
LS,194,176,local,Medium-Range
i,194,191,loop,Short-Range
np,197,1,library,Long-Range
A,197,113,local,Long-Range
B,197,114,local,Long-Range
cv2,198,2,library,Long-Range
ls_,198,190,local,Short-Range
np,198,1,library,Long-Range
cv2,199,2,library,Long-Range
real,199,197,local,Short-Range
ls_rgb,201,198,local,Short-Range
real_rgb,202,199,local,Short-Range
mask,203,177,local,Medium-Range
cv2,211,2,library,Long-Range
filename,211,210,local,Short-Range
cap,213,211,local,Short-Range
cap,214,211,local,Short-Range
ret,216,214,local,Short-Range
cv2,220,2,library,Long-Range
frames,221,212,local,Short-Range
frame,221,220,local,Short-Range
cap,223,211,local,Medium-Range
np,225,1,library,Long-Range
frames,225,212,local,Medium-Range
np,227,1,library,Long-Range
frames,228,212,local,Medium-Range
fs,231,230,local,Short-Range
low_cutoff,232,230,local,Short-Range
nyquist,232,231,local,Short-Range
high_cutoff,233,230,local,Short-Range
nyquist,233,231,local,Short-Range
butter,234,5,library,Long-Range
order,234,230,local,Short-Range
low,234,232,local,Short-Range
high,234,233,local,Short-Range
filtfilt,235,5,library,Long-Range
b,235,234,local,Short-Range
a,235,234,local,Short-Range
signal,235,230,local,Short-Range
filtered_signal,236,235,local,Short-Range
read_video_into_numpy,239,210,function,Medium-Range
alice,239,238,local,Short-Range
video_frames,240,239,local,Short-Range
first_frame,245,240,local,Short-Range
cheek_rect,245,243,local,Short-Range
first_frame,246,240,local,Short-Range
forehead_rect,246,244,local,Short-Range
cheek_roi,248,245,local,Short-Range
forehead_roi,249,246,local,Short-Range
video_frames,256,239,local,Medium-Range
frame,257,256,loop,Short-Range
cheek_rect,257,243,local,Medium-Range
frame,258,256,loop,Short-Range
forehead_rect,258,244,local,Medium-Range
np,259,1,library,Long-Range
cheek_roi,259,257,local,Short-Range
np,260,1,library,Long-Range
forehead_roi,260,258,local,Short-Range
cheek_avg_green_values,261,253,local,Short-Range
cheek_avg_green,261,259,local,Short-Range
forehead_avg_green_values,262,254,local,Short-Range
forehead_avg_green,262,260,local,Short-Range
cheek_avg_green_values,264,253,local,Medium-Range
forehead_avg_green_values,265,254,local,Medium-Range
bandpass_filter,276,230,function,Long-Range
cheek_avg_green_values,276,253,local,Medium-Range
low_cutoff,276,271,local,Short-Range
high_cutoff,276,272,local,Short-Range
fs,276,273,local,Short-Range
order,276,274,local,Short-Range
bandpass_filter,277,230,function,Long-Range
forehead_avg_green_values,277,254,local,Medium-Range
low_cutoff,277,271,local,Short-Range
high_cutoff,277,272,local,Short-Range
fs,277,273,local,Short-Range
order,277,274,local,Short-Range
cheek_filtered_signal,279,276,local,Short-Range
forehead_filtered_signal,280,277,local,Short-Range
np,290,1,library,Long-Range
cheek_filtered_signal,290,276,local,Medium-Range
np,291,1,library,Long-Range
forehead_filtered_signal,291,277,local,Medium-Range
cheek_fft,292,290,local,Short-Range
forehead_fft,293,291,local,Short-Range
cheek_filtered_signal,295,276,local,Medium-Range
np,297,1,library,Long-Range
N,297,295,local,Short-Range
Fs,297,296,local,Short-Range
np,298,1,library,Long-Range
N,298,295,local,Short-Range
Fs,298,296,local,Short-Range
np,299,1,library,Long-Range
freq_cheek,299,297,local,Short-Range
np,300,1,library,Long-Range
freq_forehead,300,298,local,Short-Range
np,306,1,library,Long-Range
cheek_fft,306,290,local,Medium-Range
np,307,1,library,Long-Range
forehead_fft,307,291,local,Medium-Range
freq_cheek,309,297,local,Medium-Range
index_max_cheek,309,306,local,Short-Range
freq_forehead,310,298,local,Medium-Range
index_max_forehead,310,307,local,Short-Range
freq_max_cheek,312,309,local,Short-Range
freq_max_forehead,313,310,local,Short-Range
heart_rate_cheek,315,312,local,Short-Range
heart_rate_forehead,316,313,local,Short-Range
