var_name,usage_line,def_line,scope_type,range_type
scale_factor,100,94,local,Short-Range
costheta,100,97,local,Short-Range
sintheta,100,98,local,Short-Range
dx,100,94,local,Short-Range
scale_factor,101,94,local,Short-Range
sintheta,101,98,local,Short-Range
costheta,101,97,local,Short-Range
dy,101,94,local,Short-Range
similarity_matrix,103,100,local,Short-Range
np,106,3,library,Long-Range
scale,106,105,local,Short-Range
np,107,3,library,Long-Range
ax,107,105,local,Short-Range
ay,107,105,local,Short-Range
np,108,3,library,Long-Range
np,109,3,library,Long-Range
translation,109,82,function,Medium-Range
x,109,105,local,Short-Range
y,109,105,local,Short-Range
rotation,109,86,function,Medium-Range
angle,109,105,local,Short-Range
np,110,3,library,Long-Range
scaling,110,106,local,Short-Range
result,110,109,local,Short-Range
np,111,3,library,Long-Range
shear,111,107,local,Short-Range
result,111,110,local,Short-Range
result,112,111,local,Short-Range
x,115,114,local,Short-Range
x1,116,115,local,Short-Range
y,117,114,local,Short-Range
y1,118,117,local,Short-Range
x1,120,115,local,Short-Range
y1,120,117,local,Short-Range
x2,120,116,local,Short-Range
image,120,114,local,Short-Range
y2,120,118,local,Short-Range
image,123,114,local,Short-Range
y1,123,117,local,Short-Range
x1,123,115,local,Short-Range
image,124,114,local,Short-Range
y1,124,117,local,Short-Range
x2,124,116,local,Short-Range
image,125,114,local,Medium-Range
y2,125,118,local,Short-Range
x1,125,115,local,Short-Range
image,126,114,local,Medium-Range
y2,126,118,local,Short-Range
x2,126,116,local,Short-Range
x2,128,116,local,Medium-Range
x,128,114,local,Medium-Range
y2,128,118,local,Short-Range
y,128,114,local,Medium-Range
x,129,114,local,Medium-Range
x1,129,115,local,Medium-Range
y2,129,118,local,Medium-Range
y,129,114,local,Medium-Range
x2,130,116,local,Medium-Range
x,130,114,local,Medium-Range
y,130,114,local,Medium-Range
y1,130,117,local,Medium-Range
x,131,114,local,Medium-Range
x1,131,115,local,Medium-Range
y,131,114,local,Medium-Range
y1,131,117,local,Medium-Range
w1,133,128,local,Short-Range
f11,133,123,local,Short-Range
w2,133,129,local,Short-Range
f12,133,124,local,Short-Range
w3,133,130,local,Short-Range
f21,133,125,local,Short-Range
w4,133,131,local,Short-Range
f22,133,126,local,Short-Range
I,136,135,local,Short-Range
np,137,3,library,Long-Range
rows,137,136,local,Short-Range
cols,137,136,local,Short-Range
cols,138,136,local,Short-Range
rows,138,136,local,Short-Range
np,139,3,library,Long-Range
T,139,135,local,Short-Range
rows,141,136,local,Short-Range
cols,142,136,local,Short-Range
np,143,3,library,Long-Range
j,143,142,loop,Short-Range
center,143,138,local,Short-Range
i,143,141,loop,Short-Range
np,144,3,library,Long-Range
T_invert,144,139,local,Short-Range
shift_center,144,143,local,Short-Range
coordinates,145,144,local,Short-Range
center,145,138,local,Short-Range
output,146,137,local,Short-Range
i,146,141,loop,Short-Range
j,146,142,loop,Short-Range
bilinear_interpolation,146,114,function,Long-Range
I,146,135,local,Medium-Range
x,146,145,local,Short-Range
y,146,145,local,Short-Range
np,147,3,library,Long-Range
output,147,137,local,Short-Range
output,148,147,local,Short-Range
cv2,151,2,library,Long-Range
path,151,150,local,Short-Range
cv2,152,2,library,Long-Range
arabella,152,151,local,Short-Range
np,153,3,library,Long-Range
arabella_smol,153,152,local,Short-Range
arabella_smol,154,153,local,Short-Range
translation,157,82,function,Long-Range
image_warp,158,135,function,Medium-Range
arabella_smol,158,154,local,Short-Range
t1,158,157,local,Short-Range
translation,159,82,function,Long-Range
image_warp,160,135,function,Medium-Range
arabella_smol,160,154,local,Short-Range
t2,160,159,local,Short-Range
translation,161,82,function,Long-Range
image_warp,162,135,function,Medium-Range
arabella_smol,162,154,local,Short-Range
t3,162,161,local,Short-Range
translation,163,82,function,Long-Range
image_warp,164,135,function,Medium-Range
arabella_smol,164,154,local,Short-Range
t4,164,163,local,Short-Range
warped_arabella1,165,158,local,Short-Range
warped_arabella2,166,160,local,Short-Range
warped_arabella3,167,162,local,Short-Range
warped_arabella4,168,164,local,Short-Range
rotation,171,86,function,Long-Range
rotation,172,86,function,Long-Range
image_warp,174,135,function,Long-Range
arabella_smol,174,154,local,Medium-Range
r1,174,171,local,Short-Range
image_warp,175,135,function,Long-Range
arabella_smol,175,154,local,Medium-Range
r2,175,172,local,Short-Range
warped_arabella5,176,174,local,Short-Range
warped_arabella6,177,175,local,Short-Range
similarity_matrix,180,94,function,Long-Range
image_warp,181,135,function,Long-Range
arabella_smol,181,154,local,Medium-Range
s1,181,180,local,Short-Range
warped_arabella7,182,181,local,Short-Range
affine,185,105,function,Long-Range
image_warp,186,135,function,Long-Range
arabella_smol,186,154,local,Long-Range
a1,186,185,local,Short-Range
warped_arabella8,187,186,local,Short-Range
np,195,3,library,Long-Range
cv2,195,2,library,Long-Range
path1,195,192,local,Short-Range
np,196,3,library,Long-Range
cv2,196,2,library,Long-Range
path2,196,193,local,Short-Range
np,197,3,library,Long-Range
cv2,197,2,library,Long-Range
path3,197,194,local,Short-Range
I12,199,197,local,Short-Range
I1,200,195,local,Short-Range
I2,201,196,local,Short-Range
I1_float,202,200,local,Short-Range
I2_float,202,201,local,Short-Range
I12_float,203,202,local,Short-Range
np,203,3,library,Long-Range
I12_float,204,202,local,Short-Range
np,204,3,library,Long-Range
I12_uint8,205,204,local,Short-Range
np,205,3,library,Long-Range
I1,207,195,local,Medium-Range
I2,207,196,local,Medium-Range
synthI12,208,207,local,Short-Range
I12,208,197,local,Medium-Range
diffI,209,208,local,Short-Range
np,209,3,library,Long-Range
I12,211,197,local,Medium-Range
synthI12,212,207,local,Short-Range
diffI_scaled,213,209,local,Short-Range
